Race,Year,Date,Finishers,Latitude,Longitude,MEAN_PM25,MEDIAN_PM25,MAX_PM25,MIN_PM25,RH2M,T2M,T2M_MIN,T2M_MAX,T2MDEW,T2MWET,WS2M,WS2M_MIN,WS2M_MAX,ALLSKY_SFC_UV_INDEX,CLOUD_AMT_DAY,PRECTOTCORR
Hartford Marathon,2023,10/14/23,1467,41.7658,-72.6734,5.833333333,5.65,8.9,3.9,84.15,9.44,5.82,14.01,6.67,8.05,0.05,0.01,0.23,0.46,97.5,1.33
Napa Valley Marathon,2023,3/5/23,1452,38.5025,-122.2654,7.5625,8.55,12.3,2.2,84.7,5.22,2.9,9.23,2.64,3.93,2.28,0.84,3.82,0.7,54.33,7.68
Des Moines Marathon,2023,10/15/23,1450,41.5868,-93.625,2.756989247,2.4,6.9,1.5,71.33,9.41,6.11,14.47,3.88,6.65,3.4,2.13,4.9,0.54,82.51,0.17
Mountains 2 Beach Marathon,2023,5/21/23,1423,34.2805,-119.2941,8.535294118,7.8,18,0.1,62.63,20.5,12.74,28.49,11.74,16.12,0.46,0.04,0.84,2.32,39.52,0.11
Lakefront Marathon,2023,10/1/23,1419,43.0389,-87.9065,12.76363636,10.1,31.5,8.2,71,20.83,14.81,29.38,14.74,17.78,1.86,1.2,2.6,1.11,27.89,0
Rock 'n' Roll Arizona Marathon,2023,1/15/23,1408,33.4484,-112.074,9.706666667,10.1,14.4,5.1,84.86,10.54,9.06,13.35,8.06,9.3,1.5,0.92,2.81,0.31,97.74,7.97
Bayshore Marathon,2023,5/27/23,1366,44.7631,-85.6206,5.3,5.3,5.3,5.3,57.27,13.92,8.12,18.76,5.32,9.62,1.65,1.03,2.67,1.84,17.15,0
Kiawah Island Marathon,2023,12/9/23,1358,32.6088,-80.0846,NA,NA,NA,NA,87.87,19.03,17.6,20.74,16.94,17.99,1.88,0.38,3.32,0.62,24.23,0.51
Georgia Marathon,2023,2/26/23,1335,33.749,-84.388,8.883333333,8.65,11.7,6.7,87.69,17.3,13.31,22.82,15.11,16.2,1.4,0.15,2.53,1.17,91.55,0.04
Surf City Marathon (prev. Pacific Shoreline Marathon),2023,2/5/23,1268,33.6595,-117.9988,7.55,7,13.2,2.3,86.58,13.96,12.39,15.67,11.64,12.8,5.48,2.29,7.49,0.81,27.89,0.4
Cowtown Marathon,2023,2/26/23,1263,32.7555,-97.3308,18.99166667,18.6,26.6,8.3,85.34,14.99,6.16,23.57,12.39,13.69,4.6,0.63,8.44,0.75,93.38,2.71
Cleveland Marathon,2023,5/21/23,1232,41.4993,-81.6944,9.8,9.4,15.3,7.2,70.95,14.87,10.4,18.48,9.23,12.05,2.35,0.15,4.14,1.87,36.51,0.3
Kansas City Marathon,2023,10/21/23,1231,39.0997,-94.5786,4.875,5,7,1.2,50.78,17.92,11.44,27.23,6.03,11.97,2.93,1.7,4.7,1.03,0.43,0
Vermont City Marathon,2023,5/28/23,1167,44.4759,-73.2121,6.7,6.7,8.9,4.7,62.41,19.23,11.48,26.11,11.16,15.19,0.77,0.42,1.32,2.05,1.25,0
Glass City Marathon,2023,4/23/23,1161,41.6528,-83.5379,3.56,3.1,7.1,1.8,76.7,4.62,-0.14,9.21,0.56,2.59,3.06,1.95,4,0.94,97.04,0.84
Ogden Marathon,2023,5/20/23,1077,41.223,-111.9738,14.39166667,11.75,35.9,3.7,44.89,17.52,8.3,24.8,4.11,10.82,0.86,0.16,1.34,2.26,15.71,0
Buffalo Marathon,2023,5/28/23,1075,42.8864,-78.8784,8.711111111,8.6,12,6.6,56.53,18.13,11.76,24.43,8.75,13.44,0.68,0.17,1.26,2.18,27.27,0.01
Air Force Marathon,2023,9/16/23,1070,39.7817,-84.1033,6.545,6.6,11.2,2.7,58.47,16.1,9.11,22.72,7.22,11.66,1.14,0.91,1.48,1.6,76.12,0.01
GO! St. Louis Marathon,2023,4/2/23,1065,38.627,-90.1994,4.896190476,4.9,7.2,2.3,73.14,10.82,1.19,19.37,5.6,8.21,3.07,1.11,4.88,1.73,12.54,0.56
Missoula Marathon,2023,6/25/23,1050,46.8721,-113.994,12.90666667,10.5,22.7,3.9,73.32,13.32,8.23,18.42,8.42,10.87,0.31,0.01,0.79,1.63,84.31,3.94
Kentucky Derby Festival Marathon,2023,4/29/23,1048,38.2527,-85.7585,9.464285714,9.95,12.4,5.8,85,12.72,6.76,17.32,10.41,11.57,1.74,0.91,3.2,0.98,84.18,0.99
Little Rock Marathon,2023,3/5/23,1044,34.7465,-92.2896,7.96,5.95,19.1,2.9,84.22,13.13,5.29,21.73,10.14,11.64,0.48,0.24,0.71,1.24,8.06,0
Salt Lake City Marathon,2023,4/22/23,1010,40.7608,-111.891,7.446666667,5.55,15.4,2.8,67.58,2.63,-1.45,6.69,-3.05,-0.21,1.21,0.48,2.02,1.21,95.88,0.06
Myrtle Beach Marathon,2023,3/4/23,997,33.6891,-78.8867,5.6,5.6,6,5.2,76.9,19.23,15.99,20.95,14.94,17.08,4.62,2.14,9.39,1.41,48.43,1.45
Utah Valley Marathon,2023,6/3/23,996,40.2969,-111.6946,14.46666667,16.2,23.1,2.6,51.5,16.26,10.85,20.74,5.76,11.01,1.06,0.24,1.97,2.05,56.26,0.9
Fargo Marathon,2023,5/20/23,958,46.8772,-96.7898,7.1625,6.6,11,4.5,55.7,16.04,6.62,24.33,6.04,11.04,2.66,1.23,4.17,2.04,7.86,0
Atlantic City Marathon,2023,10/22/23,953,39.3643,-74.4229,2.65,2.65,2.8,2.5,65.21,12.94,10.52,15.88,6.23,9.59,6.41,5.66,7.28,0.72,36.77,0.21
The Santa Rosa Marathon,2023,8/27/23,952,38.4405,-122.7144,8.118181818,8.4,9.9,4.7,42.68,23.21,12.48,35.05,5.94,14.57,1.26,0.15,2.12,2.45,6.82,0
Erie Marathon at Presque Isle,2023,9/10/23,944,42.1535,-80.105,5.825,6.3,8.3,3.1,79.81,19.36,16.61,23.51,15.55,17.46,1.07,0.64,1.74,1.18,94.64,0.67
Baystate Marathon,2023,10/15/23,936,42.6334,-71.3162,3.4,3.4,3.5,3.3,78.52,10.46,7.42,15.05,6.52,8.49,0.69,0.55,0.82,0.71,90.88,0.08
Carmel Marathon,2023,4/8/23,936,39.9784,-86.118,5.214634146,4.4,13.5,3.3,63.52,7.62,0.25,15.7,0.3,3.96,3.18,1.73,5.17,1.76,35.44,0
Grand Rapids Marathon,2023,10/15/23,932,42.9634,-85.6681,2.490909091,2.5,4,0.7,79.65,8.48,4.05,13.04,4.83,6.65,3.32,2.04,5.09,0.54,86.31,0.21
Rocket City Marathon,2023,12/10/23,917,34.7304,-86.5861,4.475,4.3,5.8,3.5,81.87,5.73,-1.06,13.33,2.68,4.2,1.56,0.64,2.52,0.49,42.81,27.86
Boulderthon Marathon,2023,10/8/23,916,40.015,-105.2705,3.551851852,3.3,9.6,2.2,30.84,14.64,6.37,24.37,-3.83,5.4,1.76,0.94,3.14,1.36,1.21,0
