Race,Year,Date,Finishers,Latitude,Longitude,MEAN_PM25,MEDIAN_PM25,MAX_PM25,MIN_PM25,RH2M,T2M,T2M_MIN,T2M_MAX,T2MDEW,T2MWET,WS2M,WS2M_MIN,WS2M_MAX,ALLSKY_SFC_UV_INDEX,CLOUD_AMT_DAY,PRECTOTCORR
Town of Celebration Marathon,2023,1/29/23,403,28.317,-81.5409,NA,NA,NA,NA,81.91,20.35,14.3,27.74,17.01,18.68,2.23,1.33,3.68,1.1,47.71,0
Catalina Marathon,2023,3/11/23,382,33.3879,-118.4163,5.066666667,3.9,13.9,0.8,95.08,14.11,13.21,15.47,13.35,13.73,2.02,1.54,3.1,1.06,98.86,3.54
Avenue of the Giants Marathon,2023,5/7/23,381,40.0357,-123.7353,7.973333333,7.6,16.6,2.2,87.02,8.38,6.01,11.79,6.18,7.28,1.07,0.62,1.69,1.27,97.65,6.6
Big Beach Marathon,2023,1/29/23,379,30.246,-87.7008,7.166666667,7.05,8.6,5.7,92.29,19.35,17.39,20.41,18.04,18.69,3.5,2.23,5.46,0.49,87.14,8.68
Equinox Marathon,2023,9/16/23,377,64.8378,-147.7164,NA,NA,NA,NA,90.26,6.48,3.88,10.46,4.95,5.72,1.79,1.01,2.72,0.31,98.14,1.08
WhistleStop Marathon,2023,10/14/23,376,46.5927,-90.8779,1.2,1.2,1.2,1.2,89.73,8.28,5.6,10.82,6.65,7.46,0.98,0.7,1.16,0.57,84.2,3.14
One City Marathon,2023,3/5/23,374,37.0869,-76.473,3.6,3.6,4,3.2,71.23,10.66,5.96,15.57,5.34,8,1.9,0.99,3.29,1.07,5.26,0.03
Sioux Falls Marathon,2023,8/27/23,366,43.5446,-96.7311,4.836363636,4.8,6.7,3.1,51.98,21.55,13.16,29.54,10.23,15.89,1.72,0.82,2.56,2.03,24.44,0
Tacoma City Marathon,2023,4/30/23,365,47.2529,-122.4443,3.007142857,2.3,6.3,1.7,84.41,11.44,7.47,15.39,8.76,10.1,0.78,0.54,0.9,1,95.56,0.16
"Nashville Half Marathon, Marathon & 5K",2023,10/28/23,363,36.1627,-86.7816,9.48,9.2,12.5,6,67.77,21.87,15.67,29.55,14.91,18.39,1.09,0.74,1.53,0.86,78.67,1.29
Chickamauga Battlefield Marathon,2023,11/11/23,344,34.9481,-85.2904,6.270909091,6.3,7.2,5.6,73.42,12.21,8.1,18.23,7.15,9.68,0.39,0.23,0.67,0.58,97.08,3.37
New England Green River Marathon,2023,8/27/23,340,42.7009,-72.4521,5.033333333,5.2,5.4,4.5,82.82,19.39,14.89,24.73,16.01,17.7,0.1,0.01,0.36,1.58,65.06,0.8
Salina Crossroads Marathon,2023,11/4/23,331,38.8403,-97.6114,11.71,11.95,13.5,8.8,70.44,10.26,6.44,16.16,4.85,7.56,1.98,1.01,3.8,0.53,66.43,0.26
Marshall University Marathon,2023,11/5/23,330,38.4192,-82.4452,13.6,13.6,13.6,13.6,68.15,11.08,6.06,18.98,4.51,7.79,0.12,0,0.8,0.62,2.13,0
OBX Marathon,2023,11/12/23,327,35.9183,-75.6105,NA,NA,NA,NA,77.53,14.81,13.17,15.48,10.9,12.85,7.74,6.73,8.48,0.3,99.13,6.46
Maui Oceanfront Marathon,2023,1/15/23,324,20.8783,-156.6825,5.3,5.3,5.3,5.3,71.8,24.77,23.26,26.43,19.3,22.03,4.08,2.43,5.24,1.48,32.96,0.31
Colorado Springs Marathon,2023,9/30/23,321,38.8339,-104.8214,6.490909091,4.7,11.1,3.8,37.33,16.08,8,25.64,-0.56,7.76,3.32,1.21,5.55,1.8,52.91,0.57
Deseret News Classic Marathon,2023,7/24/23,320,40.7608,-111.891,11.50098039,10.4,38.6,8.1,49.95,25.46,20.71,32.02,13.61,19.54,1.19,0.27,2,2.62,85.59,1.95
Newport Marathon,2023,6/3/23,318,41.4901,-71.3128,6.2,6.2,6.2,6.2,84.27,12.57,9.23,16.1,9.94,11.25,3.4,1.11,4.1,1.11,97.44,2.43
Clarence Demar Marathon,2023,9/24/23,317,42.9337,-72.2781,4.1,3.75,5.7,3.2,96.22,12.25,10.13,14.26,11.67,11.96,0.03,0.02,0.04,0.51,98.81,4.15
Maui Marathon,2023,4/23/23,317,20.8783,-156.6825,4.3,4.3,4.3,4.3,69.9,25.16,23.5,26.79,19.23,22.2,1.92,0.75,3.09,3.53,21.3,0.11
The Kauai Marathon,2023,9/3/23,317,21.8718,-159.4523,NA,NA,NA,NA,74.56,26.32,25.24,27.5,21.42,23.87,5.3,3.39,6.54,3.21,39.36,0.98
St. Petersburg Marathon,2023,2/12/23,312,27.7676,-82.6403,6.95,6.95,7.7,6.2,69.88,17.35,15.13,18.83,11.75,14.55,7.03,5.11,8.85,1.04,82.06,0.47
Coast Guard Marathon,2023,3/4/23,311,36.2946,-76.251,NA,NA,NA,NA,71.87,15.12,8.12,19.61,9.74,12.43,5.96,3.07,10.46,1.22,1.97,0.42
Moose Mountain Marathon,2023,9/9/23,306,47.5586,-90.9253,NA,NA,NA,NA,79.84,15.74,14.52,16.67,12.28,14.01,0.93,0.24,1.5,0.74,96.25,2.16
Spinx Run Fest,2023,10/28/23,304,34.8526,-82.394,10.66666667,11,11.9,9.1,67.51,19,12.53,28.33,12,15.5,0.64,0.29,0.93,1.09,3.07,0
Kalamazoo Marathon,2023,4/23/23,302,42.2917,-85.5872,5.759459459,5.8,13.7,1,75.47,3.33,-0.2,7.74,-0.97,1.18,2.95,1.09,4.77,1.05,92.99,0.15
Eugene Curnow Trail Marathon (formerly the Half Voyageur Trail Marathon),2023,7/15/23,301,46.7483,-92.206,14.06,15.5,16.8,5.7,62.3,18.4,13.41,23.94,10.56,14.48,2.63,1.02,4.41,1.45,86.91,0.06
Suffolk County Marathon,2023,10/22/23,299,40.7291,-73.2176,NA,NA,NA,NA,73.86,13.02,10.09,14.41,8.42,10.72,8.56,7.76,9.74,0.64,47.14,0.02
Holland Haven Marathon,2023,9/10/23,297,42.7875,-86.1089,6.633333333,6.9,11.8,3.5,66.76,18.56,15.51,21.79,12.08,15.32,1.22,0.17,2.07,1.57,55.41,0.03
Modesto Marathon,2023,3/26/23,295,37.6391,-120.9969,6.053333333,5.1,11.2,3.6,77.69,5.47,-0.02,11.7,1.39,3.43,2.46,1.16,3.74,1.23,4.68,0
Prairie Fire Wichita Marathon,2023,10/8/23,293,37.6869,-97.335,3.883333333,3.4,6.5,2.7,48.37,16.68,7.2,27.37,4.89,10.79,1.93,0.82,2.86,1.32,0.27,0
Wisconsin Marathon,2023,5/6/23,293,42.5871,-87.8223,4.675,4.15,8.9,2.6,84.15,16.53,11.9,20.5,13.68,15.1,4.02,1.57,5.57,0.75,88.32,1.02
Lost Dutchman Marathon,2023,2/19/23,290,33.415,-111.5487,9.914285714,10.3,12.8,4.5,48.48,13.27,9.22,18.55,2.07,7.67,1.65,0.79,3.5,0.86,90.2,0
Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,3/4/23,289,31.5785,-84.1557,10.3,10.3,11,9.6,75.92,19.12,14.07,24.88,14.36,16.74,1.73,1.03,2.72,1.67,50.5,0.01
Sri Chinmoy Marathon (formerly Self-Transcendence Marathon),2023,8/24/23,288,41.0786,-73.8685,4.2,4.2,4.2,4.2,85.31,19.84,16.59,23.15,17.18,18.51,1.37,0.61,1.89,0.69,94.11,5.83
Bass Pro Shops Marathon,2023,11/5/23,287,37.1806,-93.3112,14.13333333,13.1,34.5,6.7,81.57,14.44,8.55,22.12,10.95,12.69,1.3,0.54,1.98,0.62,46.19,0.64
"Louisville Marathon, Half Marathon & 10K",2023,11/5/23,284,38.2566,-85.7539,15.15833333,12.4,33.2,7.3,65.16,10.79,5.78,18.5,3.28,7.03,1.15,0.78,1.71,0.63,7.92,0
Jekyll Island Marathon,2023,1/15/23,283,31.0746,-81.4066,3.45,3.45,3.8,3.1,60.61,8.69,5.53,11.45,1.03,4.86,3.34,1.51,5.86,0.58,17.03,0
Ocean State Marathon & Rhode Race,2023,10/29/23,283,41.7001,-71.457,3.9,3.8,5.6,2.3,84.47,12.53,11.17,15.02,9.93,11.23,2.16,1.73,2.4,0.21,98.22,10.55
Brew City Marathon,2023,4/22/23,282,43.0389,-87.9065,5.915789474,5.2,9.4,3.4,80.49,2.66,-0.72,5.21,-0.51,1.07,2.8,1.53,4.15,1.02,91.16,0.62
Coeur d' Alene Marathon,2023,5/28/23,281,47.6777,-116.7805,2.8,2.8,3.1,2.5,77,16.01,10.37,21.43,11.53,13.77,0.85,0.42,1.12,1.49,78.07,1.03
North Central Trail Marathon,2023,11/25/23,278,39.6837,-76.6413,6.215384615,6,8.5,3.9,75.09,-0.05,-4.08,5.34,-4.41,-2.23,1.65,0.97,2.93,0.39,40.92,0
Hilton Head Marathon,2023,2/11/23,277,32.2163,-80.7526,NA,NA,NA,NA,93.93,15.79,14.87,18.66,14.77,15.28,7.53,2.83,10.37,0.3,98.74,45.18
North Olympic Discovery Marathon,2023,6/4/23,272,48.1181,-123.4307,2.45,2.45,5.4,-0.5,71.22,10.85,5.84,15.53,5.3,8.07,0.88,0.58,1.21,2.13,10.83,0.04
Lake Placid Marathon,2023,6/11/23,265,44.2795,-73.9799,8.3,8.3,8.9,7.7,73.6,17.77,10.33,23.48,12.53,15.16,0.44,0.03,0.98,1.78,75.22,1.19
Panama City Beach Marathon,2023,12/2/23,263,30.1766,-85.8055,6.45,6.45,6.9,6,96.67,20.91,19.26,22.25,20.38,20.64,3.78,2.16,6.28,0.11,98.52,38.59
Foot Traffic Flat Marathon,2023,7/4/23,259,45.6536,-122.764,9.52,8,19,5.2,53.68,24.3,13.49,34.07,11.31,17.8,0.67,0.08,1.24,2.46,2.87,0.01
Bellingham Bay Marathon,2023,9/24/23,257,48.7544,-122.4781,3.65,3.65,5.6,1.7,88.53,12.58,8.06,17.58,10.61,11.59,0.88,0.36,1.32,0.67,98.84,10.52
Pro Football Hall of Fame Marathon,2023,5/7/23,257,40.8184,-81.3985,7.873684211,6.5,18.3,3.3,85.81,15.77,10.56,21.16,13.39,14.58,0.84,0.52,1.27,0.98,99.39,1.89
Hamptons Marathon,2023,9/23/23,256,40.9634,-72.1848,NA,NA,NA,NA,89.66,17.31,16.7,17.97,15.6,16.46,7.53,6.23,8.63,0.56,97.35,19.38
Mad Marathon,2023,7/9/23,253,44.1373,-72.8277,1.5,1.5,1.5,1.5,87.83,21.99,18.6,25.94,19.69,20.84,0.15,0.04,0.45,1.44,96.56,11.99
Salisbury Marathon,2023,4/1/23,253,38.3658,-75.593,NA,NA,NA,NA,85.44,16.74,8.53,21.71,14.2,15.47,6.82,5.04,10.36,0.58,72.37,14.72
Bend Marathon and Half,2023,4/16/23,250,44.0582,-121.3153,1.38,1.3,3.9,-0.6,73.82,4.17,0.29,9.53,-0.47,1.85,1.69,0.43,4,0.86,88.58,1.24
B&A Trail Marathon,2023,3/26/23,249,39.0458,-76.6413,4.55,4.55,5,4.1,64.74,11.03,4.23,17.4,3.86,7.44,2.65,0.77,4.86,1.42,0.76,0
Ann Arbor Marathon,2023,10/1/23,248,42.2808,-83.743,23.505,21.45,40.5,10,70.11,19.56,14.28,26.55,13.5,16.53,1.12,0.5,2.1,1.15,28.13,0
Capital City Marathon,2023,5/21/23,247,47.0455,-122.895,19.38,15.55,33,3.5,79.87,12.47,8.88,16.23,8.91,10.69,0.22,0.18,0.29,1.15,87.54,0.36
Harpeth Hills Flying Monkey Marathon,2023,11/19/23,244,36.0665,-86.8987,5.941666667,5.75,10.8,2.5,57.07,7.86,0.3,17.22,-1.45,3.21,1.17,0.77,2.25,0.56,33.53,0
El Paso Marathon,2023,2/12/23,238,31.7619,-106.485,3.35,3.35,4.5,2.2,38.74,9.81,-0.09,20.69,-3.9,2.96,2.46,1.18,3.52,1.02,68.46,0
Columbia Gorge Marathon,2023,10/22/23,235,45.7086,-121.512,4.1,4.1,6,2.2,86.05,11.22,8.35,16.53,8.76,9.99,0.93,0.5,1.38,0.57,86.31,0.07
Jackson Hole Marathon,2023,9/23/23,233,43.4799,-110.7624,4.9,5.25,9.3,0.3,73.85,4.3,-1.98,12.19,-0.68,1.81,0.21,0.01,0.92,1.16,73.13,0.14
Steamboat Marathon,2023,6/4/23,233,40.484,-106.8317,13.35882353,13,30.4,3.4,82.97,8.35,3.3,13.84,5.29,6.82,0.16,0,0.67,1.61,98.02,0.85
Med-City Marathon,2023,5/13/23,231,44.0216,-92.4699,7.85,7.95,8.9,6.6,78,17.41,13.53,22.58,13.29,15.35,5.25,3.2,6.76,0.83,98.03,9.23
Blue Sky Marathon,2023,10/21/23,222,40.5247,-105.0246,4.484,4.2,6.9,2.5,34.7,15.51,8.16,24.6,-1.19,7.16,2.02,0.76,3.23,1.16,32.26,0.09
Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,8/20/23,221,61.2176,-149.8586,6.4,6.4,6.4,6.4,85.09,12.43,9.86,14.94,9.92,11.18,1.55,1,2.12,0.9,97.38,0.09
Run Oak Island,2023,2/18/23,221,33.916,-78.1617,NA,NA,NA,NA,67.22,7.18,3.54,11.69,1.11,4.15,2.26,1.32,3.75,1.15,7.16,0
Windermere Marathon,2023,5/21/23,217,47.674,-117.2399,10.2,10.2,10.2,10.2,70.78,19.8,13.27,24.61,14,16.9,2.35,0.95,3.69,1.83,63.69,1.91
Last Chance BQ.2 Chicagoland Marathon,2023,9/9/23,216,41.795,-88.1473,8.926666667,9.5,12.1,4.4,70.66,18.24,12.12,26.03,11.97,15.11,2.12,0.99,3.34,1.79,10.36,0
Sackets Harbor Marathon & Half Marathon,2023,9/3/23,216,43.9448,-76.1191,9.1,9.1,9.1,9.1,81.81,21.63,19.38,24.28,18.32,19.98,2.19,1.82,2.92,1.6,22.88,0.04
York Marathon and Half Marathon,2023,5/7/23,216,39.9626,-76.7277,9.382142857,8.2,16.6,5.4,80.07,15.39,9.5,21.58,11.72,13.56,0.92,0.11,1.73,1.24,94.63,0.76
Chattanooga Marathon,2023,3/5/23,212,35.0456,-85.3097,7.866666667,8.95,10.8,4.1,76.26,11.25,3.16,20.22,6.44,8.84,0.47,0.31,0.9,1.21,0.22,0.01
Florida Marathon & Half Marathon,2023,2/12/23,210,28.0836,-80.6081,6.75,6.75,7.3,6.2,71.19,19.61,15.01,22.81,13.86,16.73,6.8,4.49,9.34,1.06,63.12,0.95
Hogeye Marathon,2023,4/15/23,210,36.0822,-94.1719,7.24375,7.3,9.5,3.2,79.17,16.78,6.83,24.8,12.98,14.88,0.94,0.45,1.56,1.38,79.47,1.81
Mt. Nebo Marathon,2023,8/26/23,210,35.2234,-93.2527,12.94,13,14.5,11.3,53.75,32.44,23.95,42.16,20.09,26.27,0.15,0.06,0.4,2.19,62.99,0.39
Lake Wobegon Trail Marathon,2023,5/6/23,209,45.6686,-94.364,7.2,7.15,8.8,5.7,89.36,14.18,8.89,20.56,12.33,13.25,3.74,2.47,4.92,0.6,95.06,5.44
Loco Marathon,2023,10/22/23,207,43.1979,-70.8737,1,1,1,1,78.42,10.92,8.32,13.02,7.19,9.05,4.96,4.16,5.97,0.45,93.2,1.01
Deadwood-Mickelson Trail Marathon,2023,6/4/23,206,44.3764,-103.7296,34.85,19.05,76.9,0.6,60.71,20.02,12.87,26.77,11.19,15.6,1.37,0.55,2.09,2.32,44.44,0.1
South Texas International Marathon,2023,12/2/23,206,26.2034,-98.23,7.033333333,5.95,12.1,4.9,78.99,19.33,14.92,25.93,15.23,17.28,2.12,0.84,5.02,0.87,92.96,0.06
Des Plaines River Trail Marathon,2023,10/14/23,205,42.1241,-87.9115,3.511111111,3.65,6.6,1.8,85.88,10.93,8.31,13.91,8.59,9.76,5.58,3.97,7.01,0.45,98.21,13.33
Heartland Marathon,2023,9/24/23,201,41.2594,-95.9384,3.857142857,2.5,9.3,0,65.85,19.07,11.62,27.92,11.58,15.33,2.63,0.97,4.61,1.43,26.91,0.02
Millinocket Marathon,2023,12/2/23,193,45.6573,-68.7098,NA,NA,NA,NA,99.36,0.74,-1.63,3.36,0.66,0.7,0.1,0.04,0.18,0.07,98.59,2.08
Whidbey Island Marathon,2023,4/23/23,189,48.2932,-122.6471,4.44,4.5,7.9,1.6,95.7,8.47,6.39,9.17,7.82,8.15,0.53,0.3,1.1,0.62,99.04,15.5
New Hampshire Marathon,2023,9/30/23,188,43.6484,-71.507,21.6,19.4,30.2,15.2,83.22,13.7,8.57,20.25,10.63,12.16,0.42,0.06,0.96,0.58,88.13,0.58
A Run Through Time,2023,3/11/23,186,38.4466,-105.2253,4.3,4.25,6.1,1.9,52,5.29,-1.15,12.61,-5.22,0.04,3.43,0.75,5.23,1.1,70.98,0.68
3 Bridges Marathon,2023,12/9/23,184,34.7961,-92.2671,7.325,5.9,16.8,2.4,84.14,12.39,5.39,15.79,9.62,11.01,1.56,0.68,2.76,0.4,55.57,3.76
Aspen Valley Marathon,2023,7/15/23,184,39.1911,-106.8175,10.275,7.9,20.5,3.8,39.97,13.02,4.3,21.66,-1.84,5.59,0.57,0.12,1.17,3.5,13.74,0.23
Leavenworth Marathon,2023,9/30/23,184,47.5962,-120.6615,4.05,4.4,6.2,1.2,65.43,7.78,0.62,15.49,0.9,4.34,0.73,0.36,1.04,0.81,19.39,0.02
Maritime Marathon,2023,6/11/23,183,44.0886,-87.6596,4.2,4.2,4.2,4.2,72.73,11.88,9.26,13.51,7.12,9.5,7.96,5.32,8.94,1.1,97.1,8.23
Bismarck Marathon,2023,9/16/23,179,46.8083,-100.7837,27.79333333,18.7,62.7,2.7,65.13,14.9,8.57,22.1,7.75,11.32,1.48,0.84,2.22,1.15,28.66,0
Charlottesville Marathon,2023,4/1/23,179,38.0293,-78.4767,6.9,6.9,7.5,6.3,71.04,16.02,6.85,23.15,10.03,13.03,0.75,0.31,1.17,1.24,72,4.05
Fort Worth Marathon,2023,11/12/23,179,32.7555,-97.3308,9.47,10.1,13.6,4.1,75.61,13.95,9.87,19.25,9.54,11.74,0.75,0.46,1.02,0.76,93.77,0
Pocatello Marathon,2023,9/2/23,179,42.8713,-112.4455,5.623529412,5.4,10.4,0.3,57.55,21.53,16.64,27.66,12,16.77,2.91,0.98,4.64,1.88,50.78,0.11
Great New York State Marathon,2023,10/15/23,178,43.0731,-76.131,3.066666667,3.5,4,1.7,89.81,8.1,6.13,11,6.4,7.25,0.41,0.32,0.55,0.58,97.23,6.15
Marathon of the Treasure Coast,2023,3/5/23,177,27.2086,-80.2664,10.65,10.65,11.2,10.1,71.98,24.37,21.74,27.29,18.82,21.59,2.05,1.05,2.86,1.58,35.42,0.02
Surfers Point Marathon,2023,9/10/23,175,34.2805,-119.2941,6.092857143,6,11,-0.5,48.62,25.58,20.12,34.17,12.91,19.24,0.75,0.45,1.17,2.14,54.18,0.01
Potomac River Run Marathon,2023,5/6/23,174,38.9421,-77.1839,6.257142857,5.5,8.5,3.4,62.44,15.83,8.4,21.89,7.86,11.84,0.92,0.27,1.73,1.62,34.79,0
Tallahassee Marathon,2023,2/5/23,174,30.4383,-84.2807,4.9,4.9,5.4,4.4,84.54,12.46,6.45,21.56,9.68,11.07,0.32,0.07,0.95,0.98,68.36,0
BHM26.2,2023,10/1/23,173,33.5186,-86.8104,8.9,10.1,11,5.6,59.23,24.08,16.95,32.49,14.53,19.3,0.12,0.07,0.18,1.66,41.8,0
Famous Idaho Potato Marathon,2023,5/13/23,172,43.615,-116.2023,6.433333333,6.45,8.9,3.1,50.2,17.58,9.15,24.64,5.5,11.54,1.27,0.73,1.9,1.97,17.87,0.03
The Haunted Forest Marathon,2023,10/29/23,172,42.3223,-83.1763,4.105555556,2.65,8.9,1.6,85.73,6.96,3.94,10.22,4.68,5.82,3.13,1.55,4.28,0.38,96.22,5.54
Bakersfield Marathon,2023,3/26/23,169,35.3733,-119.0187,6.87,6.45,9.9,4.9,79.71,4.82,1.37,9.98,1.12,2.97,2.67,0.91,4.86,1.52,20.54,0
Bemidji Blue Ox Marathon,2023,10/14/23,168,47.4736,-94.8803,2.3,2.3,2.4,2.2,76.03,7.02,2.25,12.11,2.65,4.83,2.61,1.17,4,0.48,91.43,0.02
Logan Marathon,2023,9/16/23,168,41.736,-111.8338,8.465594855,7.9,21.8,1.7,42.87,16.86,8.23,26.02,2.44,9.65,0.62,0.19,1.14,1.99,0.6,0
Umstead Trail Marathon,2023,3/4/23,166,35.994,-78.75,3.1,3.1,4.2,2,69.36,13.2,6.52,19.76,7.25,10.22,0.87,0.38,1.24,1.36,0.11,0.15
Mill Race Marathon,2023,9/23/23,165,39.2014,-85.9214,4.990909091,6.4,8.8,0,47.8,18.97,12.34,27.54,6.4,12.69,1.7,0.89,3.07,1.59,22.44,0.02
Athens Marathon (Ohio),2023,4/16/23,164,39.3292,-82.1013,6.1375,5.75,8.2,5,79.26,16.24,7.13,24.87,12.38,14.31,0.15,0.05,0.29,1.01,69.16,5.69
New River Marathon,2023,5/13/23,164,36.221,-81.697,11.76666667,11.8,12.4,11.1,81,20.81,16.16,27.3,16.82,18.81,0.08,0,0.55,1.78,90.6,1.15
Shoreline Marathon,2023,7/16/23,164,34.1975,-119.1771,9.005263158,7.4,18.9,2.7,80.41,18.34,16.74,19.39,14.93,16.63,1.04,0.2,1.47,3.1,40.94,0
Greenbrier River Trail Marathon,2023,10/8/23,163,38.054,-80.459,2.6,2.6,2.6,2.6,61.78,6.32,2.83,11.48,-0.89,2.72,0,0,0,0.85,83.39,0.31
Lake Tahoe Marathon,2023,10/15/23,163,39.0968,-120.0324,3.176190476,3,12.9,0,35.95,13.28,7.15,23.74,-3.02,5.13,1.11,0.78,1.63,1.29,44.03,0
Sehgahunda Trail Marathon,2023,5/20/23,162,42.5854,-77.8742,4.658333333,4.65,6.4,2.8,84.58,12.62,7.61,16.18,10.09,11.35,0.01,0.01,0.01,0.53,95.21,17.26
Washington's Birthday Marathon,2023,2/19/23,159,39.062,-76.933,5.45,5.45,7.2,3.7,77.54,6.53,0.43,13.7,2.36,4.44,3.66,1.49,5.92,0.63,61.01,0
Emerald Isle Marathon,2023,10/28/23,154,34.6771,-76.9507,NA,NA,NA,NA,84.1,22.1,19.78,24.73,19.17,20.63,3.58,2.9,4.18,1.1,1.63,0.01
Gettysburg North-South Marathon,2023,4/30/23,153,39.8309,-77.2311,4.334782609,3.9,7.7,0.7,92.9,12.16,6.93,14.71,11.04,11.6,1.34,0.53,2.38,0.56,99.55,31.72
Mississippi Blues Marathon,2023,2/25/23,153,32.2988,-90.1848,10.65714286,10.5,11.9,8.6,89.63,16.91,12.5,23.13,14.99,15.95,0.67,0.24,1.11,1.08,83.74,0.18
Spokane Series Marathon,2023,10/8/23,153,47.6588,-117.426,3.7,3,5.3,2.8,50.21,17.32,9.02,26.05,6,11.66,1.54,0.16,2.92,0.8,0.28,0
North Country Trail Run,2023,8/26/23,151,43.4086,-85.933,NA,NA,NA,NA,75.25,20.04,13.9,26.06,15.1,17.57,2.25,0.91,3.31,1.69,56.74,1.01
Montana Marathon,2023,5/21/23,149,45.7833,-108.5007,26.7,26.7,26.7,26.7,54.66,20.72,14.27,27.88,10.48,15.6,1.54,0.28,3.09,1.86,42.8,1.94
Gobbler Grind Marathon,2023,11/19/23,148,38.9242,-94.6412,7.777777778,6.6,16.3,4.2,70.75,9.31,5.29,16.66,3.86,6.59,2.75,1.5,4.12,0.12,99.81,5.24
Sleeping Bear Marathon,2023,10/7/23,148,44.8837,-86.0517,2.5,2.5,3.8,1.2,79.04,11.12,10.24,12.11,7.61,9.37,9.33,7.9,10.43,0.6,94.85,3.33
Freedom's Run,2023,10/7/23,147,39.4576,-77.9639,4.154545455,4.4,5.3,2.6,67.5,14.11,8.52,18.32,7.33,10.72,1.01,0.37,1.62,0.96,57.72,9.76
Sun Marathon,2023,1/28/23,147,37.0965,-113.5684,4.276923077,3.7,8.2,2.9,48.66,4.48,0.14,10.54,-5.54,-0.53,1.2,0.77,2.16,0.6,11.21,0
Mississippi River Marathon,2023,2/4/23,145,33.5248,-90.5856,6.575,6.65,8,5,84.8,1.9,-4.64,8.3,-0.69,0.61,1.75,0.97,2.64,0.71,83.97,0.16
Martian Marathon,2023,4/15/23,142,42.3223,-83.1763,16.96388889,13,35.8,6.4,60.62,18.7,11.37,26.41,10.09,14.39,1.07,0.16,2.35,1.45,70.2,0.17
Texas Marathon,2023,1/1/23,142,29.7633,-95.3633,22.175,23.1,33.7,8.4,91,17.48,10.94,24.53,16.59,17.03,1.71,0.95,2.73,0.5,62.28,0.03
Millennium Meadows Marathon,2023,8/27/23,141,42.9634,-85.6681,5.283333333,5.55,7.5,1.2,65.15,17.37,11.57,23.52,10.15,13.76,2.09,0.89,3.36,2.07,1.88,0
Long View Marathon,2023,10/14/23,140,39.5539,-104.9694,3.457480315,3.7,5.1,-2.8,51.94,4.66,-1.86,13.66,-5.27,-0.3,1.4,0.38,3.11,1.21,54.45,0.02
State 47 Marathon,2023,1/7/23,140,35.0844,-106.6504,9.413636364,9.25,23.1,2.8,58.35,2.22,-3.7,9.02,-6.34,-2.06,1.08,0.04,2.55,0.56,2.68,0.03
Skidaway Island Marathon,2023,2/25/23,139,31.9499,-81.0515,16.65,16.65,17.3,16,85.32,20.96,17.66,25.6,18.18,19.57,0.75,0.3,1.15,1.15,47.62,1.27
Nebraska State Fair Marathon,2023,8/26/23,138,40.823,-98.0028,8.088888889,8.05,11.3,5.6,59.11,21.78,17.37,26.95,12.86,17.32,2.87,1.08,4.59,2.19,38.74,7.1
Daufuskie Island Marathon,2023,1/14/23,137,32.1032,-80.8873,NA,NA,NA,NA,69.04,8.48,6.63,10.13,2.98,5.73,8.78,7.52,10.49,0.46,9.95,0.04
Santa Clarita Marathon,2023,11/12/23,137,34.3917,-118.5426,8.18,5.45,16.4,4.4,21.78,15.48,7.38,25.39,-7.83,3.82,2.03,0.85,3.77,0.82,13.03,0
Horse Capital Marathon,2023,4/15/23,136,38.0524,-84.7436,5.075,5.05,7.1,3.1,80.78,18.43,11.95,24.82,14.78,16.6,1.62,1.16,2.4,1.59,43.36,0.84
Spring Chance BQ.2 Marathon,2023,4/15/23,136,41.995,-88.293,10.79166667,10.1,15.6,6.2,77.52,19.62,13.82,26.33,15.09,17.36,3.13,1.45,4.65,1.49,60.38,1.02
Zydeco Marathon,2023,3/12/23,136,30.2241,-92.0198,8.7,8.95,10,7.6,88.32,21.36,13.17,26.48,19.24,20.3,5.01,2.45,6.72,0.94,87.97,0.62
McAllen Marathon,2023,1/21/23,134,26.2034,-98.23,10.9,9.8,16.5,6.7,84.23,18.69,14.42,24.58,15.75,17.22,2.16,0.75,3.22,0.58,76.39,0.11
Towpath Marathon,2023,10/7/23,134,41.2809,-81.5673,4.777777778,5.6,7.1,2.6,77.62,12.07,10.07,14.42,8.1,10.09,6.84,5.77,7.72,0.77,90.52,5.12
Cannonball Marathon,2023,10/14/23,133,36.0726,-79.791,6.7,6.7,7.2,6.2,81.7,18,13.18,23.19,14.67,16.34,1.65,0.13,3.95,0.7,76.84,17.73
Wausau Marathon,2023,8/19/23,132,44.9591,-89.6301,2.15,2.15,3.9,0.4,78.85,21.02,13.49,27.61,17.04,19.03,3.06,1.05,5.27,2.03,21.2,0
SOCAL River Marathon,2023,3/4/23,131,33.9806,-117.3755,4.607142857,2.35,16.4,1.6,83.12,7.45,3.75,12.62,4.41,5.93,2.44,0.55,4.33,0.97,57.12,0.01
Savin Rock Marathon,2023,3/25/23,130,41.2718,-72.947,5.9,5.85,6.6,5.1,91.54,2.3,-1.03,4.65,1.04,1.67,0.55,0.05,0.96,0.25,98.24,6.08
Adirondack Marathon,2023,10/1/23,129,43.7265,-73.4369,27.53333333,28.1,43.3,11.2,86.41,15.25,8.23,22.92,12.93,14.09,0.04,0,0.47,1.12,1.22,0.03
